"title","category_name","view_count","like_count","comment_count","published_at","thumbnail_url","tags","subscriber_count","video_count","is_weekend","video_length"
"Hoàng Hôn | Đu Trend Tóc Mẹ Bạc Màu Mây Mà Lạ Lắm #Shorts","Entertainment",2495966,38161,376,"2024-10-19 11:26:13","https://i.ytimg.com/vi/Sv8cBO8y03g/hqdefault.jpg","hoàng hôn,hoang hon,hoàng hôn official,hoàng hôn tiktok,tổng hợp tiktok,tổng hợp tik tok triệu view,tấu hài,tiktok,best of tiktok,tiktok 2024,tik tok,tiktok trend,tiktok việt nam,trào lưu tik tok,tổng hợp clip hài tik tok,clip hài tik tok,clip hài tiktok,hot tiktok,hot tiktoker,tổng hợp trend tiktok,tiktok nhiều view nhất,shorts,comedy,funny,trend tiktok,học sinh,Đu Trend Tóc Mẹ Bạc Màu Mây Mà Lạ Lắm",1580000,749,True,"0:00:19"
"Human vs Jet Engine","Entertainment",156096528,6390801,7988,"2024-10-17 19:00:00","https://i.ytimg.com/vi/ZNt_GoOBHq8/hqdefault.jpg","",324000000,823,False,"0:00:19"
"MẸ YÊU CON - Nhà TINH HOA (Tiết Mục Nhóm) CHUNG KẾT | ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024","Music",2535982,130214,32056,"2024-10-20 03:00:26","https://i.ytimg.com/vi/_lIu6T3Bp2I/hqdefault.jpg","Yeah1 music,nhạc anh trai,anh trai vượt ngàn chông gai,show anh trai,show anh trai vượt ngàn chông gai,anh trai chông gai,anh trai vượt mọi chông gai,anh trai,anh tài,anh tai,chung kết anh trai vượt ngàn chông gai,tiét mục nhà tinh hoa,nhà thinh hoa,tinh hoa,mẹ yêu con,mẹ yêu con nhà tinh hoa,nhà tinh hoa mẹ yêu con,nha tinh hoa,me yeu con,mẹ yêu con chung kết,chung kết mẹ yêu con,nhà tinh hoa,tiết mục nhà tinh hoa,mẹ yêu con tiết mục chung kết",3260000,1276,True,"0:06:01"
"Bống bống bang bang","People & Blogs",1105238,18638,37,"2024-10-22 11:43:30","https://i.ytimg.com/vi/EzWcohKmHWw/hqdefault.jpg","",1130000,95,False,"0:00:49"
"Rap Việt 2024 Tập 5: Lộ diện những chiến binh cuối cùng khép lại vòng Chinh Phục","Music",4254694,126864,4170,"2024-10-20 14:00:06","https://i.ytimg.com/vi/4gAo0WSPqoM/hqdefault.jpg","vie channel,rapper,underground,the rapper,rapper việt,rap việt trở lại,suboi,justatee,big daddy,thái vg,rap việt full,rap việt tập 4,rap việt 2024,rap viet 2024,Rap Việt 2024,rap việt 2024 mới nhất,rap viet tap 5,rap việt 2024 tập 5,tập 5 rap việt 2024,tap 5 rap viet 2024,rap việt mới nhất,rap viet mua 4,thai vg,fhero,karik,team suboi,team karik,team big daddy,vòng chinh phục,rap việt mùa 4 tập 5,rap viet 4,CoolKid,Queen B,YP,MRZ,Billy100",11000000,11071,True,"1:31:19"
"excited to see what shorts ideas y’all come up with for apt.💗 brought to you by youtube shorts","People & Blogs",64731310,2775138,23283,"2024-10-18 15:00:46","https://i.ytimg.com/vi/5VhmJaKV10c/hqdefault.jpg","",10100000,27,False,"0:00:28"
"Đô Rê Mon Lúc 3 Giờ Sáng | Sheep #shorts","Entertainment",626243,10552,46,"2024-10-26 04:35:19","https://i.ytimg.com/vi/BFnT9aYKm0w/hqdefault.jpg","sheep,rút,sheep chơi game,sheep reaction,sheep huggy,sheep poppy playtime,sheep fnaf,sheep tiktok,tiktok sheep,sheep súp bờ,sheepfarm,sheep kể chuyện ma,game kinh dị,creepy game,creepypasta game,horror game,sheep chơi game kinh dị,reaction game kinh dị,doraemon,đô rê mon,đô rê mon lúc 3 giờ sáng,doraemon at 3am,shorts",3920000,557,True,"0:00:18"
"MONO - 'Chăm Hoa' (Official Music Video)","Music",2823632,111859,4138,"2024-10-22 12:00:42","https://i.ytimg.com/vi/WCm2elbTEZQ/hqdefault.jpg","mono,mono official,mono 22,album 22,album 22 mono,mono album 22,22,mono chăm hoa,mono mới nhất,chăm hoa official mv,cham hoa,mono cham hoa,cham hoa mono,chăm hoa lyric,chăm hoa mono,official music video,chăm hoa karaoke,đi tìm tình yêu,karaoke cham hoa,cham hoa live,cham hoa tiktok,mono mv,mono nhac,tuyen tap mono,mono album,album mono,official mv,nhac moi,nhac moi nhat,nhac tre,mv moi,chăm hoa,di tim tinh yeu mono,yt:cc=on",603000,85,False,"0:04:20"
"A PÁO CÃI LÝ VỚI CÔNG AN GIAO THÔNG - 2 #shrots","Entertainment",5569944,40957,159,"2024-10-14 03:28:12","https://i.ytimg.com/vi/i-2LhJamMpU/hqdefault.jpg","",1290000,1181,False,"0:01:00"
"Vô tri thật #painting #vanphongpham #meohay","People & Blogs",1636587,24281,100,"2024-10-19 11:37:50","https://i.ytimg.com/vi/rRQ4YpKvNwk/hqdefault.jpg","acrylic marker,trò vô tri,nghệ thuật marker,cách vẽ với acrylic marker,vẽ sáng tạo,mẹo dùng acrylic marker,nghệ thuật acrylic,sáng tạo với bút acrylic,hướng dẫn vẽ acrylic marker,bút vẽ marker,Chờ một ngày nắng lên,tô màu mắt,kỹ thuật tô màu mắt,tô màu mắt sáng tạo,tô màu mắt độc đáo,cách tô màu mắt đẹp,tutorial tô màu mắt,hướng dẫn tô màu mắt,màu mắt nghệ thuật,eyeshadow painting,tô màu mắt nước,tô màu mắt đậm,phong cách tô màu mắt,tips tô màu mắt",32000,64,True,"0:00:16"
